namen,gerundet,cat_f,cat_d
Chêne-Pâquier,359,Economie de,Gewinn von
Scheuren,1481,Economie de,Gewinn von
Vaux-sur-Morges,623,Economie de,Gewinn von
Buchillon,7,Economie de,Gewinn von
Treycovagnes,19,Economie de,Gewinn von
Origlio,1826,Economie de,Gewinn von
Bremgarten bei Bern,12315,Economie de,Gewinn von
Ipsach,1518,Economie de,Gewinn von
Comano,16,Economie de,Gewinn von
Novalles,-147,Perte de,Verlust von
Rossemaison,11688,Economie de,Gewinn von
Kaufdorf,1239,Economie de,Gewinn von
Lully (VD),158,Economie de,Gewinn von
Châtel-sur-Montsalvens,-4841,Perte de,Verlust von
Chapelle (Glâne),-4166,Perte de,Verlust von
Rongellen,NA,NA,NA
Reisiswil,1663,Economie de,Gewinn von
Rueyres,436,Economie de,Gewinn von
Tübach,-4696,Perte de,Verlust von
Borex,12,Economie de,Gewinn von
Chippis,-812,Perte de,Verlust von
Bedano,1757,Economie de,Gewinn von
Préverenges,449,Economie de,Gewinn von
Langendorf,4678,Economie de,Gewinn von
Orselina,1516,Economie de,Gewinn von
Jouxtens-Mézery,57,Economie de,Gewinn von
Rossenges,368,Economie de,Gewinn von
Geroldswil,NA,NA,NA
Auboranges,-4174,Perte de,Verlust von
Gisikon,11338,Economie de,Gewinn von
Corseaux,115,Economie de,Gewinn von
Coppet,13,Economie de,Gewinn von
Gurbrü,1715,Economie de,Gewinn von
Saint-Sulpice (VD),4539,Economie de,Gewinn von
Gerlafingen,1288,Economie de,Gewinn von
Meyriez,-1619,Perte de,Verlust von
Starrkirch-Wil,556,Economie de,Gewinn von
Bursinel,74,Economie de,Gewinn von
Hagneck,1672,Economie de,Gewinn von
Horn,-3372,Perte de,Verlust von
Prévondavaux,-442,Perte de,Verlust von
