namen,gerundet,cat_f,cat_d
Bottenwil,-2737,Perte de,Verlust von
Beurnevésin,11295,Economie de,Gewinn von
Flerden,3536,Economie de,Gewinn von
Maisprach,-2468,Perte de,Verlust von
Wynau,NA,NA,NA
Vuiteboeuf,94,Economie de,Gewinn von
Uitikon,NA,NA,NA
Iffwil,-548,Perte de,Verlust von
Pierrafortscha,-4326,Perte de,Verlust von
Fislisbach,NA,NA,NA
Birr,-1312,Perte de,Verlust von
Steinhausen,-5164,Perte de,Verlust von
Ottenbach,NA,NA,NA
Obermumpf,-3125,Perte de,Verlust von
Ellikon an der Thur,NA,NA,NA
Poliez-Pittet,222,Economie de,Gewinn von
Brügg,1633,Economie de,Gewinn von
Fahrwangen,-2794,Perte de,Verlust von
Bardonnex,3983,Economie de,Gewinn von
Reute (AR),2669,Economie de,Gewinn von
Pfungen,NA,NA,NA
Rünenberg,-917,Perte de,Verlust von
Cottens (FR),-44,Perte de,Verlust von
Curtilles,493,Economie de,Gewinn von
Oberweningen,NA,NA,NA
Lachen,-4694,Perte de,Verlust von
Bellikon,NA,NA,NA
Etoy,315,Economie de,Gewinn von
Russin,3753,Economie de,Gewinn von
Hüntwangen,NA,NA,NA
Windisch,5368,Economie de,Gewinn von
Hermance,4,Economie de,Gewinn von
Kaiseraugst,-3467,Perte de,Verlust von
Bioley-Magnoux,38,Economie de,Gewinn von
Rudolfstetten-Friedlisberg,-4379,Perte de,Verlust von
Billens-Hennens,-436,Perte de,Verlust von
Dietlikon,NA,NA,NA
Künten,NA,NA,NA
Pfeffingen,5423,Economie de,Gewinn von
Toffen,12128,Economie de,Gewinn von
Ecublens (FR),-4261,Perte de,Verlust von
Lohn (SH),-247,Perte de,Verlust von
Genolier,62,Economie de,Gewinn von
Ependes (VD),5,Economie de,Gewinn von
Bussigny,3785,Economie de,Gewinn von
Buchrain,1112,Economie de,Gewinn von
Wisen (SO),5299,Economie de,Gewinn von
Founex,4173,Economie de,Gewinn von
Schluein,345,Economie de,Gewinn von
Begnins,992,Economie de,Gewinn von
Full-Reuenthal,-42,Perte de,Verlust von
Bannwil,1385,Economie de,Gewinn von
Lancy,3899,Economie de,Gewinn von
Hermenches,368,Economie de,Gewinn von
Männedorf,122,Economie de,Gewinn von
Kriechenwil,11219,Economie de,Gewinn von
Giez,4,Economie de,Gewinn von
Riniken,-2575,Perte de,Verlust von
Echarlens,-525,Perte de,Verlust von
Treiten,1925,Economie de,Gewinn von
Cornaux,-85,Perte de,Verlust von
Widnau,NA,NA,NA
Othmarsingen,-368,Perte de,Verlust von
Stetten (SH),-266,Perte de,Verlust von
Goldach,-1866,Perte de,Verlust von
Amsoldingen,1291,Economie de,Gewinn von
Presinge,429,Economie de,Gewinn von
Ropraz,54,Economie de,Gewinn von
Maschwanden,NA,NA,NA
Loveresse,9993,Economie de,Gewinn von
Kiesen,1254,Economie de,Gewinn von
Tenniken,-893,Perte de,Verlust von
Caslano,89,Economie de,Gewinn von
Au (SG),NA,NA,NA
Zuchwil,7475,Economie de,Gewinn von
Auswil,1774,Economie de,Gewinn von
Füllinsdorf,-962,Perte de,Verlust von
Avully,364,Economie de,Gewinn von
Zwingen,11297,Economie de,Gewinn von
Zielebach,1676,Economie de,Gewinn von
Frenkendorf,1387,Economie de,Gewinn von
Cheseaux-sur-Lausanne,376,Economie de,Gewinn von
Jens,1424,Economie de,Gewinn von
Drei Höfe,1489,Economie de,Gewinn von
Epalinges,444,Economie de,Gewinn von
Buttwil,NA,NA,NA
Vinelz,1516,Economie de,Gewinn von
Cuarny,53,Economie de,Gewinn von
Thörigen,173,Economie de,Gewinn von
Wallbach,-339,Perte de,Verlust von
Waltenschwil,-2946,Perte de,Verlust von
Hubersdorf,155,Economie de,Gewinn von
Luterbach,186,Economie de,Gewinn von
Lüterswil-Gächliwil,-2529,Perte de,Verlust von
Dällikon,NA,NA,NA
Steinach,-697,Perte de,Verlust von
